xpath,scope,data_type,unit_as_used,unit_in_cura_code,cura_internal_key,occurrences,n_files,coverage_pct,value_range_or_enum,category,ofd_equivalent,orca_prusa_equivalent,harvest_candidate,notes
fdmmaterial,root,container,,no conversion (stored as str),,281,281,100.0,,container,-,-,n,Container element.
fdmmaterial/@version,root,float,,no conversion (stored as str),,281,281,100.0,1.3..1.3,format,-,version (format ver.),n,"Format version; only '1.3' maps to a live setting_version, anything else -> 0 (legacy)."
fdmmaterial/metadata,root,container,,no conversion (stored as str),,281,281,100.0,,container,-,-,n,Container element.
fdmmaterial/metadata/GUID,root,str,,no conversion (stored as str),material_guid,281,281,100.0,"281 distinct; e.g. ca27d214-ea51-418e-a43f-7f82e319d814, 3333145a-b9b0-4388-9c5c-e5dfab37",identity,uuid (filament/variant/brand .json),filament_id / setting_id,y,"REQUIRED by XmlMaterialValidator. Vendor-generated, not centrally issued. 281/281 unique in repo."
fdmmaterial/metadata/color_code,root,str,,no conversion (stored as str),,281,281,100.0,"116 distinct; e.g. #ffc924, #ee51f8, #00ff00",metadata,variant.json color_hex,filament_colour,n,Single hex only; no multi-colour form.
fdmmaterial/metadata/name,root,container,,no conversion (stored as str),,281,281,100.0,,metadata,-,-,n,
fdmmaterial/metadata/name/brand,root,str,,no conversion (stored as str),material_brand,281,281,100.0,"33 distinct; e.g. Ultimaker, Generic, eMotionTech",identity,brand.json name/id,filament_vendor,n,REQUIRED.
fdmmaterial/metadata/name/color,root,str,,no conversion (stored as str),,281,281,100.0,"40 distinct; e.g. Generic, Black, White",identity,variant.json name,filament_color / default_filament_colour,n,'Generic' is the sentinel for colour-agnostic; drives display-name synthesis.
fdmmaterial/metadata/name/material,root,str,,no conversion (stored as str),material_type,281,281,100.0,"59 distinct; e.g. PLA, PETG, ABS",identity,material.json material,filament_type,n,"REQUIRED. Family-level string, free text (59 distinct values)."
fdmmaterial/metadata/version,root,float,,no conversion (stored as str),,281,281,100.0,1..57,identity,-,-,n,"REQUIRED. Monotonic revision counter of the profile, not the format version."
fdmmaterial/properties,root,container,,no conversion (stored as str),,281,281,100.0,,container,-,-,n,Container element.
fdmmaterial/properties/density,root,float,g/cm3 (convention; unvalidated),no conversion (stored as str),,281,281,100.0,0.89..1600,material_property,filament.json density,filament_density,n,g/cm3 by convention; NOT validated. eazao_clay states 1600 (kg/m3) -> unit error in source data.
fdmmaterial/properties/diameter,root,float,mm,mm -> material_diameter (float),material_diameter,281,281,100.0,1.74..3.175,material_property,sizes.json diameter,filament_diameter,n,mm. Only property mapped to a setting (material_diameter). Also derives approximate_diameter=round(d).
fdmmaterial/settings,root,container,,no conversion (stored as str),,281,281,100.0,,container,-,-,n,Container element.
fdmmaterial/settings//setting[@key='print temperature'],machine/hotend(720)+root(281)+machine(246),float,degC,"mapped -> default_material_print_temperature (unit degC, fdmprinter default 210)",default_material_print_temperature,1247,281,100.0,0..420,print_setting,slicer_settings.*.nozzle_temp / min|max_print_temperature,nozzle_temperature / temperature,n,
